recipe_name,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Brownie à la ricotta,Magimix,10 min,20 min,30 min,0 min,9 personnes,"['150 g de chocolat noir', '75 g de beurre', '55 g de sucre', '2  œufs', '60 g de farine T45', '1 c.c. de levure chimique', '1 pincée de fleur de sel', '230 g de ricotta', '40 g de sucre', '1  œuf', ""0.5 c.c. d'extrait de vanille""]"
Gaufres au lait de coco,Magimix,10 min,8 min,1 h 48,1 h 30,15 pièces,"['4  œufs', '335 g de farine T45', '11 g de levure fraîche de boulanger', '330 g de lait de coco', '135 g de beurre fondu', '40 g de sucre vanillé', '1 pincée de fleur de sel', '150 g de noix de coco râpée']"
Compote mangue et vanille,Magimix,5 min,30 min,35 min,0 min,8 personnes,"['6  pommes', '1  mangue', ""100 ml d'eau"", ""0.5 c.c. d'arôme vanille""]"
Tiramisu au café,SIMON,20 min,0 min,12 h 20,12 h,4 personnes,"['250 g de mascarpone', '100 g de sucre', '200 ml de café chaud', '30  biscuits à la cuillère ou boudoirs', '2 sachets de sucre vanillé', '3 c.s. de cacao amer', ""5 c.s. d'Amaretto"", '4  œufs', '20  Spéculoos®']"
Pain multi-céréales bio,Ladysmile,10 min,30 min,2 h 10,1 h 30,1 pain,"['250 g de farine multi-céréales bio', '1 c.c. de levure boulangère instantanée', ""175 ml d'eau"", '1 c.c. de sel']"
Tarte aux fraises,emeline,1 h 30,15 min,3 h 15,1 h 30,4 personnes,"['300 g de farine', '150 g de beurre', '20 g de levure fraîche', '60 ml de lait', '1  œuf', '2 c.s. de sucre fin', ""5  jaunes d'œufs"", '100 g de sucre fin', '1 sachet de poudre de pudding', '0.5 L de lait', '250 g de fraises']"
Risotto aux asperges,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['100 ml de vin blanc', '320 g de riz arborio', '30 g de parmesan', '50 g de beurre', ""2 c.s. d'huile d'olive"", ""700 ml d'eau"", '1  oignon', '1  cube de bouillon de légumes', ""300 g d'asperges vertes""]"
Tarte aux pommes et aux poires,Magimix,20 min,30 min,50 min,0 min,8 personnes,"['150 g de farine T45', '50 g de sucre glace', '25 ml de crème liquide', ""4 c.s. de sirop d'agave"", '1 pincée de fleur de sel', '75 g de beurre', '1  banane', '200 g de compote de pommes', '3  pommes', '1  poire', '1  œuf']"
Houmous,Gisèle LOUIS,5 min,20 min,25 min,0 min,1 personne,"['150 g de pois chiches trempés une nuit', ""45 ml d'huile d'olive"", '1  citron pressé', '2 c.s. de tahin', ""1  gousse d'ail"", '1 pincée de fleur de sel']"
Tarte aux fraises,Hector Nine,30 min,15 min,1 h 15,30 min,8 personnes,"['250 g de farine', '120 g de beurre', '80 g de sucre', '1  œuf', ""0.5 c.c. d'extrait de vanille"", '250 ml de lait', ""3  jaunes d'œufs"", '20 g de fécule de maïs (Maïzena®)', ""0.5 c.c. d'extrait de vanille"", '10 g de beurre', '10 g de farine', '50 g de sucre', '500 g de fraises', '3 c.c. de pistaches non salées']"
Sauce bolognaise,Magimix,15 min,25 min,40 min,0 min,6 personnes,"['100 g de carottes', '100 g de navets', '800 g de tomates entières pelées au jus', '1  oignon', ""1  gousse d'ail"", ""1 c.s. d'huile d'olive"", '200 g de viande de bœuf hachée', '130 g de chair à saucisse', '100 g de lardons', '1 c.s. de vinaigre', '1 c.c. de sucre', '2 feuilles de laurier', '1 pincée de sel', '1 pincée de poivre']"
"Pâtes au poulet, tomates et épinards",Magimix,5 min,27 min,32 min,0 min,4 personnes,"[""2  gousses d'ail"", '1  oignon', '1 bouquet de persil', ""1 c.s. d'huile d'olive"", '2  blancs de poulet', ""100 ml d'eau"", '150 g de fromage à tartiner', ""1 botte d'asperges vertes"", '125 g de champignons de Paris', ""100 g d'épinards"", '300 g de pâtes', '400 g de tomates', '2 c.s. de concentré de tomate', '1  cube de bouillon de légumes']"
Bœuf marocain,Magimix,25 min,28 min,1 h 23,30 min,4 personnes,"['500 g de steak de boeuf', ""3 c.c. d'épices marocaines"", ""3 c.s. d'huile de tournesol"", '200 g de riz thaï ou basmati', ""200 g d'oignon"", '400 g de pois chiches', ""80 g d'abricots secs"", '500 ml de fond de volaille', ""40 g d'amandes"", '5 feuilles de menthe', '5 feuilles de coriandre', '6  tomates cerises', ""50 ml d'huile d'olive"", '100 g de yaourt à la grecque']"
Stir fry de légumes,Magimix,20 min,0 min,20 min,0 min,4 personnes,"[""3 c.s. d'huile de sésame"", '1  oignon', '50 g de gingembre', '50 g de maïs', '1  poivron rouge', '1  carotte', '100 g de châtaignes', '275 g de nouilles de riz', '1  piment', '50 g de pois gourmand', '2  oignons nouveaux', '3 c.s. de sauce soja', '2 c.c. de sucre roux', '75 ml de bouillon de volaille']"
Œufs mimosa croquants,Magimix,15 min,0 min,15 min,0 min,3 personnes,"['6  œufs durs', '100 g de thon', '1  échalote', ""1  gousse d'ail"", '1 c.s. de mayonnaise', '1 c.s. de graines de sésame', '1 c.c. de curry en poudre', '40 g de persil haché', '1 pincée de sel', '1 pincée de poivre']"
Poulet à la normande,Magimix,20 min,45 min,1 h 5,0 min,4 personnes,"['8  hauts de cuisses de poulet', '60 g de beurre demi-sel', '2  oignons', ""6  gousses d'ail"", '4 branches de céleri branche', '500 ml de cidre', '1  cube de bouillon de légumes', ""100 ml d'eau bouillante"", '6 feuilles de laurier', '1 bouquet de thym', '2 c.s. de crème fraîche', ""2 c.s. de moutarde à l'ancienne"", '1 c.s. de farine T45', '1 pincée de fleur de sel', '1 pincée de poivre']"
Veau en papillote,Magimix,15 min,35 min,50 min,0 min,4 personnes,"['1 kg de rôti de veau', '5  échalotes', ""5  gousses d'ail"", ""25 ml d'huile d'olive"", '30 g de beurre', ""1 c.c. de piment d'Espelette"", '1 c.c. de paprika', '1 c.c. de cumin', ""2 c.c. d'origan"", '1  cube de bouillon de légumes', ""25 ml d'eau"", '200 g de pommes de terre grenailles', '4 feuilles de laurier', '150 g de cèpes déshydratées', '1 bouquet de persil']"
Tajine poulet-citron-olives,Magimix,20 min,1 h 45,2 h 5,0 min,8 personnes,"['6  cuisses de poulet', '2  oignons', ""15 ml d'huile d'olive"", '2 cm de gingembre', '1 c.s. de cumin', '1 c.s. de paprika', ""1 c.s. d'origan"", '1 c.s. de graines de coriandre', ""6  gousses d'ail"", '1 pincée de fleur de sel', '1 pincée de poivre', '200 ml de bouillon de volaille', '3  citrons confits', ""150 g d'olives vertes""]"
Curry végé,Magimix,15 min,50 min,1 h 5,0 min,8 personnes,"[""25 ml d'huile de colza"", '4  oignons nouveaux', '2 c.s. de curcuma', '2 c.s. de curry en poudre', '1 c.s. de tandoori massala en poudre', '1  piment rouge', ""6  gousses d'ail"", '3 cm de gingembre', '1  citron vert', '2  patates douces', '8  tomates', '500 ml de crème de coco', '0.5 bouquet de coriandre', '1 poignée de noix de cajou']"
Poulet pané anti-gaspi,Magimix,15 min,15 min,30 min,0 min,6 personnes,"['125 g de pain de campagne', '4  blancs de poulet', '1  oignon', ""1  d'œuf"", ""75 ml d'huile de colza"", '100 g de mâche', '12  tomates cerises', '1 pincée de fleur de sel', '1 pincée de poivre']"
Bourguignon de champignons,Magimix,15 min,45 min,1 h,0 min,4 personnes,"['30 g de beurre demi-sel', ""15 ml d'huile d'olive"", '2  oignons', '2  oignons nouveaux', ""4  gousses d'ail"", '4  carottes', '1  bouquet garni', '1  cube de bouillon de légumes', '700 g de champignon de Paris', '2 c.s. de concentré de tomate', '500 ml de vin rouge', '2 c.s. de farine T45', '1 pincée de fleur de sel', '1 pincée de poivre']"
Milkshake Banane,Anthony,5 min,0 min,5 min,0 min,2 verres,"['1  banane', '10  glaçons', '100 ml de lait', '1 sachet de sucre vanillé']"
Sirop de menthe,Cédric,10 min,25 min,2 h 35,2 h,4 verres,"['150 g de menthe fraîche', ""1 L d'eau"", '1 kg de sucre']"
Lait d'avoine,Pierre Legeay,2 min,0 min,3 min,1 min,4 verres,"['100 g de flocons d’avoine', ""1 L d'eau"", '1 pincée de sel']"
Milkshake Bueno®,AngéliqueFelicie,2 min,0 min,2 min,0 min,1 verre,"['150 ml de lait', '3 boules de glace vanille', '2  de Kinder Bueno®']"
Choux à la chantilly fraises-basilic,Magimix,45 min,25 min,1 h 40,30 min,6 pièces,"['70 g de farine', '1 c.s. de sucre', '2  œufs', ""100 ml d'eau"", '40 ml de lait demi-écrémé', '50 g de beurre', '1 pincée de sel', '1 c.c. de sucre perlé', '200 g de fraises', '130 g de mascarpone', '5 feuilles de basilic frais', '200 ml de crème liquide (30 % mat. grasse min.)', '30 g de sucre glace']"
Mille Feuilles,Magimix,20 min,15 min,35 min,0 min,6 personnes,"['500 g de pâte feuilletée', '1  œuf', ""3  jaunes d'œufs"", '75 g de sucre', '50 g de fécule de maïs (Maïzena®)', '1  gousse de vanille', '500 ml de lait tempéré', '100 g de sucre en poudre']"
Canistrelli,Magimix,10 min,40 min,50 min,0 min,6 personnes,"['230 g de farine', '115 g de sucre', ""50 g de poudre d'amandes"", '2  œufs', '1 sachet de sucre vanillé', '1 c.c. de levure chimique', '1 pincée de sel', ""125 g d'amandes non émondées""]"
Fraisier Japonais,Tia NGUYEN,30 min,20 min,1 h 20,30 min,6 personnes,"['3  œufs', '90 g de sucre semoule', '90 g de farine', '1 c.c. de levure chimique', '500 ml de crème semi-épaisse 30%', '50 g de sucre glace', '1  gousse de vanille', '300 g de fraises']"
Filet mignon façon blanquette,Charli's Cook,10 min,40 min,50 min,0 min,4 personnes,"['1  filet mignon de porc', '1  oignon', '1  carotte', '200 g de champignons de Paris', '150 ml de crème liquide', '150 ml de vin blanc', '50 ml de cognac', ""150 ml d'eau"", '10 g de beurre', ""1 c.s. d'huile"", '1 c.s. de sucre', '1 c.c. de thym', '1 c.s. de farine', '0.5  cube de bouillon Cube Or®']"
Taboulé et filets de rouget,Magimix,10 min,25 min,35 min,0 min,4 personnes,"['300 g de semoule', ""1 c.s. d'huile d'olive"", '1  carotte', '400 ml de fumet de poisson', '0.5  poivron rouge', '0.5  poivron vert', '0.5  oignon', '4 filets de rougets', '1  tomate', '4 feuilles de menthe', '3 feuilles de basilic', '50 ml de crème liquide', '0.5  jus de citron jaune', '1 c.s. de fécule de maïs (Maïzena®)', '1 pincée de sel', '1 pincée de poivre']"
Flan petits pois et menthe,Magimix,10 min,1 h,1 h 10,0 min,4 personnes,"['400 g de petits pois', '150 g de mascarpone', '1  œuf', ""2  jaunes d'œufs"", '100 ml de crème liquide', '10 feuilles de menthe ciselées', '1 pincée de sel', '1 pincée de poivre']"
Salade thaïe spiral expert,Magimix,30 min,30 min,1 h,0 min,4 personnes,"['500 g de steak de bœuf', '1 pincée de sel', '1 pincée de poivre', '50 g de cacahuètes', ""1 c.s. d'huile de tournesol"", '3  carottes', '150 g de chou vert', '300 g de concombres', '2 c.s. de sauce Nuoc-mâm', '2 c.s. de cassonade', '3  citrons verts', ""2  gousses d'ail"", '0.5 botte de coriandre', '1  petit piment']"
Velouté de radis,Pascale Faraco,10 min,0 min,10 min,0 min,2 personnes,"['1 botte de radis sans les fanes', '100 ml de crème fraîche', '200 ml de lait', ""200 ml d'eau"", '1 c.c. de pistou', '15 g grattons lyonnais', '1  pomme de terre cuite']"
Velouté de petits pois,Magimix,10 min,30 min,40 min,0 min,4 personnes,"['3 brins de menthe fraîche', '1 pincée de sel', '1 pincée de poivre', ""500 ml d'eau"", '3  de cébettes (cives)', '700 g de petits pois écossés', '1  cube de bouillon de volaille', '300 ml de crème liquide']"
Mini-cakes olives noires et feta,Magimix,10 min,15 min,25 min,0 min,8 pièces,"['150 g de feta', ""75 g d'olives noires"", '150 g de farine', ""100 ml d'huile d'olive"", '125 ml de lait chaud', '1 sachet de levure chimique', '3  œufs', '100 g de gruyère', '1 pincée de sel', '1 pincée de poivre']"
Creepy Carrot Cake sans gluten,Glummyyy,20 min,45 min,1 h 5,0 min,8 personnes,"['350 g de carottes', '100 g de dattes', '50 g de farine de châtaigne', '100 g de farine de riz', '40 g de farine de maïs', '20 g de fécule de maïs (Maïzena®)', '1 c.c. de gingembre en poudre', '1 c.c. de cannelle en poudre', ""100 g d'huile de tournesol"", ""25 g de sirop d'érable"", '3  œufs', '1  orange', '10 g de poudre à lever sans gluten', '10 g de bicarbonate de soude', '1 pincée de sel', '75 g de noix de pécan', '200 g de beurre pommade non salé', '200 g de fromage frais type Philadelphia®', '50 g de sucre glace', '1  gousse de vanille']"
Spider cookies,Magimix,20 min,15 min,2 h 5,1 h 30,4 personnes,"['115 g de beurre doux', '120 g de cassonade', '1  œuf', '1 c.c. de vanille liquide', '225 g de farine T55', '1 sachet de levure chimique', '1 pincée de sel', '150 g de crème liquide entière', '150 g de chocolat noir 60%', ""125 g d'amande émondées"", '125 g de sucre glace', ""15 g de blanc d'œuf (1 blanc)""]"
Spider cookies,Magimix,20 min,15 min,2 h 5,1 h 30,4 personnes,"['115 g de beurre doux', '120 g de cassonade', '1  œuf', '1 c.c. de vanille liquide', '225 g de farine T55', '1 sachet de levure chimique', '1 pincée de sel', '150 g de crème liquide entière', '150 g de chocolat noir 60%', ""125 g d'amande blanche"", '125 g de sucre glace', ""15 g de blanc d'œuf""]"
Velouté potimarron-pomme de terre,Steph F.,20 min,50 min,1 h 10,0 min,6 personnes,"['1  potimarron', '3  pommes de terre', '1  petit oignon', '2  cubes de bouillon de volaille', '1 pincée de sel', ""1 c.s. d'huile de tournesol"", '100 ml de crème fluide', ""1 L d'eau""]"
"Velouté potiron, carotte et Coco",lmn,30 min,0 min,30 min,0 min,4 personnes,"['500 g de potiron', '3  carottes', '2  pommes de terre', '3  oignons nouveaux', '1  échalote', '200 ml de lait de coco', '1 bouquet de coriandre', '1  cube de bouillon de légumes', ""2 c.s. d'huile d'olive"", '5 c.s. de crème liquide', ""1 L d'eau"", '1 pincée de sel']"
Pâte à gaufres,Magimix,10 min,5 min,1 h 15,1 h,12 pièces,"['250 g de farine', '75 g de sucre semoule', '1 sachet de levure chimique', '2 pincées de sel', '400 ml de lait', '75 g de beurre', '3  œufs']"
Pain à l'huile d'olive,Magimix,15 min,40 min,3 h 55,3 h,4 pains,"['115 ml de lait', '1 sachet de levure sèche de boulanger', '375 g de farine T55', ""35 ml d'huile d'olive"", '1 c.s. de romarin séché', '1 c.c. de sel']"
Pain aux olives et au chèvre,Magimix,15 min,30 min,3 h 45,3 h,1 pain,"['1  sachet de levure de boulanger', '345 g de farine T55', ""30 ml d'huile d'olive"", '110 g de yaourt nature', '1  bûche de chèvre', ""50 g d'olives noires dénoyautées"", '1 c.c. de sel', ""1  jaune d'œuf"", '40 g de pignons de pin']"
Pain noix et farine multicéréales,Magimix,10 min,35 min,4 h 30,3 h 45,1 pain,"['1 c.c. de levure sèche de boulanger', '100 g de farine T55', '150 g de farine multicéréales', '1 c.c. de sel', '50 g cerneaux de noix']"
"Pain au houmous, sésame, graines",Magimix,10 min,55 min,1 h 35,30 min,1 pain,"['1 sachet de levure sèche de boulanger', '235 g de farine T65', ""135 g d'houmous"", '0.5 c.c. de bicarbonate de soude', '1 pincée de sel', '1 c.c. vinaigre de cidre', '40 g de graines de courge', '25 g de graines de sésame']"
Pain cocotte aux graines et céréales,Magimix,10 min,40 min,13 h 20,12 h 30,1 pain,"['1 sachet de levure sèche de boulanger', '190 g de farine semi-complète T110', '60 g de farine de seigle', ""20 g de flocons d'avoine"", '20 g de graines de courge', '20 g de graines de sésame', '20 g de graines de lin', '2 c.s. de graines de pavot', '1 c.c. de sel']"
Pain semi-complet noisettes-raisins,Magimix,10 min,35 min,4 h 15,3 h 30,1 pain,"['1 sachet de levure sèche de boulanger', '150 g de farine T55', '100 g de farine complète', '1 c.c. de sel', '50 g de noisettes décortiquées', '50 g de raisins secs']"
Pain de campagne,Magimix,10 min,30 min,2 h 40,2 h,1 pain,"['0.5 sachet de levure sèche de boulanger', '1 c.c. de sel', '500 g de farine t80']"
Pain noir au seigle et aux graines,Magimix,10 min,35 min,3 h 45,3 h,1 pain,"['1 sachet levure sèche de boulanger', '250 g de farine de seigle T130', '1 c.c. de sel', ""1 c.s. d'huile d'olive"", '25 g de graines de courge', '25 g de graines de tournesol']"
Pain au sarrasin et aux noix,Magimix,10 min,40 min,1 h 50,1 h,1 pain,"['0.5 c.c. de levure fraîche de boulanger', '10 ml de levain déshydraté', '115 g de farine de sarrasin', '95 g de farine de riz complète', '0.5 c.c. de bicarbonate de soude', '0.5 c.c. de sel', '50 g de graines de courge', '125 g de cerneaux de noix']"
Pain à l'épeautre,Magimix,10 min,30 min,3 h 40,3 h,1 pain,"['10 g de levure fraîche de boulanger', ""250 g de farine d'épeautre complète"", '85 g de farine de blé semi-complète T110', ""10 ml d'huile d'olive"", '1 c.c. de sel']"
Baguette tournée aux graines,Magimix,15 min,15 min,2 h,1 h 30,2 pains,"['1 c.c. de levure fraîche de boulanger', '270 g de farine T65', '1 c.c. de sel', '1 c.s. de graines de lin', '2 c.c. de graines de tournesol', '1 c.s. de graines de sésame']"
Baguette tradition et baguette épi,Magimix,15 min,40 min,3 h 55,3 h,2 pains,"['8 g de levure fraîche de boulanger', '425 g de farine T65', '2 c.c. de sel']"
Pain de mie,Magimix,20 min,30 min,2 h 50,2 h,1 pain,"['130 ml de lait', '12 g de levure fraîche de boulanger', '360 g de farine T55', '2 c.c. de sucre', '0.5 c.c. de sel', '25 g de beurre']"
Pain au levain,Magimix,10 min,40 min,4 h 50,4 h,1 pain,"['13 g de levain déshydraté', '0.5 sachet de levure sèche de boulanger', '4 pincées de sel', '250 g de farine T80']"
Pain complet,Magimix,10 min,25 min,2 h 35,2 h,1 pain,"[""330 ml d'eau"", '0.5 sachet de levure sèche de boulanger', '250 g de farine T55', '250 g de farine de froment T80', '1 c.c. de sel']"
Brioche à effeuiller au citron,Magimix,30 min,30 min,14 h 30,13 h 30,1 pain,"['50 ml de lait', '15 g de levure fraîche de boulanger', '2  œufs', '50 g de sucre', '0.5 c.c. de sel', '2 c.s. de sucre vanillé', '350 g de farine T45', '60 g de beurre mou', '80 g de sucre glace', '1  citron vert', ""40 g d'écorces de citron confites"", '40 g de beurre fondu', '3  citrons jaunes', '40 g de cassonade']"
Brioche couronne des rois,Magimix,15 min,35 min,3 h 50,3 h,6 personnes,"['1.5 c.c. de levure fraîche de boulanger', '80 ml de lait', '280 g de farine T45', '45 g de sucre en poudre', '70 g de beurre mou', '1  œuf', ""1 c.s. d'eau de fleur d'oranger"", '1 pincée de sel', ""1  jaune d'œuf"", '1 c.s. de lait', '1 c.s. de sucre en gros grains']"
Brioche légère au yaourt,Magimix,10 min,30 min,3 h 10,2 h 30,1 pain,"['50 ml de lait', '1 sachet de levure sèche de boulanger', '320 g de farine T45', '50 g de yaourt nature', ""50 ml d'huile d'arachide"", '65 g de sucre', '1  œuf', '0.5 c.c. de sel', '0.5 sachet de levure chimique', ""0.5 c.c. d'extrait de vanille"", ""1  jaune d'œuf"", '5 ml de lait']"
Pains au basilic et à la tomate,Magimix,15 min,25 min,40 min,0 min,6 pains,"['90 ml de lait', '1 sachet de levure sèche de boulanger', ""40 g de tomates séchées à l'huile"", '10 feuilles de basilic', ""2  gousses d'ail"", '250 g de farine T55', ""35 ml d'huile d'olive"", '25 g de parmesan râpé', '20 g de pignons de pin', '1 c.c. de sel']"
Pain surprise,Magimix,20 min,40 min,3 h 30,2 h 30,1 pain,"['21 g de levure fraîche de boulanger', '1 c.c. de sel', '4 c.s. de flocons d’avoine', '500 g de farine multicéréales']"
Pain à l'oignon,Magimix,15 min,30 min,2 h 15,1 h 30,1 pain,"['1  oignon rouge', '150 ml de lait', '2 sachets de levure sèche de boulanger', '440 g de farine T65', '30 g de beurre mou', '20 g de sucre en poudre', '1.5 c.c. de sel']"
Petits pains au lait de coco,Magimix,5 min,30 min,55 min,20 min,4 pains,"['200 ml de lait de coco', '2 c.c. de levure fraîche de boulanger', '270 g de farine T55', '2 c.c. de sel', '1 c.s. de graines de sésame']"
Gâteau brioché aux pommes,Magimix,15 min,1 h 35,5 h 50,4 h,4 personnes,"['100 g de caramel liquide', '2  pommes Reinette', '2 tranches de pain de mie brioché', '250 ml de lait entier', '130 g de sucre', '3  œufs']"
Mini croissants jambon et fromage,Magimix,20 min,20 min,1 h 40,1 h,8 pièces,"['300 g de beurre congelé', '300 g de farine', ""150 ml d'eau glacée"", '1 pincée de sel', ""1  jaune d'œuf"", '1 c.s. de lait', '4 tranches de jambon', '80 g de fromage pour burger (4 tranches)']"
Saucisson brioché,Magimix,10 min,1 h 15,3 h 25,2 h,6 personnes,"[""1  jaune d'œuf"", '1  saucisse de Morteau', '200 g de farine', '80 c.s. de beurre mou', '3  œufs', '1  sachet de levure de boulanger', '15 g de sucre', '0.5 c.c. de sel']"
Bretzels,Magimix,20 min,20 min,1 h 40,1 h,4 personnes,"['75 ml de lait', ""75 ml d'eau"", '2 c.c. de levure fraîche de boulanger', '0.5 c.c. de sel', '270 g de farine', '1 c.c. de sucre', '20 g de beurre', ""1  jaune d'œuf"", ""1 c.s. d'eau"", '1 c.s. de gros sel', '2 c.c. de sel', '55 g de bicarbonate de soude']"
"Fougasse chèvre, oignons et romarin",Magimix,15 min,20 min,1 h 35,1 h,1 pain,"['1  oignon', ""2 c.s. d'huile d'olive"", '280 g de farine', '0.5  fromage de chèvre', '0.5 c.c. sel', '3 brins de romarin', '1 sachet de levure']"
Brioche à la praline rose,Magimix,20 min,25 min,16 h 45,16 h,4 personnes,"['75 g de farine', '0.5 c.c. de levure sèche de boulanger', '75 ml de lait', '210 g de farine', '0.5 c.c. de levure sèche de boulanger', '25 ml de lait', '1  œuf', '50 g de sucre', '65 g de beurre mou', '150 g de pralines roses', ""1  jaune d'œuf"", '1 c.s. de lait']"
Brioches parisiennes,Magimix,15 min,25 min,14 h 40,14 h,4 pains,"['45 ml de lait', '15 g de levure fraîche de boulanger', '50 g de sucre', '0.5 c.c. de sel', '3  œufs', '300 g de farine', '45 g de beurre mou', ""1  jaune d'œuf""]"
Pains burger à la patate douce,Magimix,15 min,55 min,1 h 40,30 min,4 pains,"['200 g de patate douce', '1  levure chimique', ""1 c.s. d'huile d'olive"", ""220 g de farine d'épeautre complète"", '2 c.s. de graines de sésame', '25 g de graines de chia']"
Petits pains farine de pois chiches,Magimix,10 min,30 min,40 min,0 min,4 pains,"['200 g de farine de pois chiches', '200 g de farine T55', '200 g de yaourt de soja', '40 g de sucre semoule', ""30 ml d'huile d'olive"", '1 sachet de levure chimique']"
Pain suédois,Magimix,10 min,40 min,1 h 10,20 min,1 pain,"['40 g de farine de riz complète', ""150 g de farine d'épeautre"", '275 g de yaourt de soja', '40 g de figues sèches', '40 g de noisettes', '40 g de raisins secs', '40 g de graines de millet', '40 g de graines de tournesol', '40 g de graines de courge', ""40 g de flocons d'avoine"", '1 c.c. de bicarbonate de soude', '40 g de graines de lin', '2 c.s. de mélasse noire']"
Pain au quinoa,Magimix,10 min,40 min,1 h 50,1 h,1 pain,"['1  sachet de levure de boulanger', '350 g de farine T55', ""175 g de farine d'épeautre"", '75 g de quinoa noir', '75 g de petit épeautre', ""20 ml d'huile d'olive"", ""2 c.s. de sirop d'érable"", '1 c.s. de bicarbonate de soude', '40 g de graines de lin', '1 c.s. de graines de chia']"
Brioche à la courge butternut,Magimix,15 min,1 h,3 h 35,2 h 20,4 personnes,"['250 g de courge butternut', '20 g de levure fraîche de boulanger', '550 g de farine T55', ""25 ml d'huile d'olive"", '180 ml de boisson de soja', '20 ml de boisson de soja', ""1 c.c. de sirop d'agave"", ""1  jaune d'œuf"", '1 c.c. de sel']"
Pain d'épeautre aux figues,Magimix,10 min,25 min,2 h 55,2 h 20,1 pain,"['20 g de levure fraîche de boulanger', '150 g de farine t80', ""125 g de farine d'épeautre"", '275 g de farine T55', '1 c.c. de sel', '8  figues', '50 g de cerneaux de noix']"
Bagels,Magimix,15 min,12 min,1 h 57,1 h 30,4 personnes,"[""250 g de farine d'épeautre"", '20 g de levure de boulanger', '1 c.s. de miel', ""1 c.s. d'huile de coco"", '20 g de graines de courge', '2 c.s. de graines de tournesol', ""1  jaune d'œuf"", '1 c.c. de sel']"
Pain à la farine de maïs,Magimix,15 min,40 min,3 h 15,2 h 20,1 pain,"['25 g de levure fraîche de boulanger', '250 g de farine T55', '130 ml de boisson de soja', ""1 c.s. d'huile d'olive"", ""1 c.c. de sirop d'agave"", '250 g de farine de maïs', '1 c.c. de sel']"
Pains aux graines,Magimix,10 min,30 min,3 h,2 h 20,2 pains,"['90 g de graines mélangées (chia, courge, tournesol)', '550 g de farine t80', '1 c.c. de sel', '20 g de levure fraîche du boulanger']"
Pâte brisée allégée,Magimix,5 min,0 min,35 min,30 min,1 pâte,"['370 g de farine t80', '1  œuf', '1 c.c. de sel', '250 g de fromage blanc']"
Chawarma,Magimix,15 min,4 min,1 h 4,45 min,4 personnes,"['2 c.c. de levure fraîche de boulanger', '0.5 c.c. de sucre', '300 g de farine T55', ""1 c.s. d'huile d'olive"", '0.5 c.c. de sel']"
Pain de mie sans croûte,Magimix,1 h,45 min,2 h 45,1 h,1 pain,"['2 c.c. de levure fraîche de boulanger', ""150 ml d'eau"", '250 g de farine', '2 pincées de sel']"
Pains au lait fourrés au chocolat,Magimix,15 min,15 min,30 min,0 min,4 pains,"['50 ml de lait', '1  sachet de levure de boulanger', '1  œuf', ""1  jaune d'œuf"", '100 g de yaourt', '300 g de farine', '30 g de sucre en poudre', '0.5 c.c. de sel', '50 g de pépites de chocolat', ""1  jaune d'œuf"", '1 c.s. de lait']"
Brioche des rois,Magimix,45 min,25 min,1 h 10,0 min,6 personnes,"['90 g de farine', '50 ml de lait entier', '1 sachet de levure de boulanger', ""1  jaune d'œuf"", '1 c.s. de sucre perlé', ""1 c.s. d'amandes effilées"", '30 g de fruits confits', '350 g de farine', '2  œufs', '60 g de beurre mou', '100 ml de lait', ""1 c.s. de fleur d'oranger"", '80 g de sucre', '1 c.c. de cannelle', '1  orange', '1  citron jaune', '1 pincée de sel']"
Pain à la farine de maïs,Magimix,15 min,40 min,3 h 15,2 h 20,1 pain,"['250 g de farine T55', '25 g de levure fraîche de boulanger', '130 ml de boisson de soja', ""1 c.s. d'huile d'olive"", ""1 c.c. de sirop d'agave"", '250 g de farine de maïs', '1 c.c. de sel']"
Pain Complet,Stéphanie D.,15 min,40 min,1 h 35,40 min,1 pain,"['250 g de farine de blé complet T150', '125 g de farine de blé blanc T45', '1  sachet de levure de boulanger', '0.5 c.c. de sucre', '1 c.c. de sel', ""250 ml d'eau tiède""]"
Pâte à pizza,la tendresse 73,5 min,20 min,2 h 25,2 h,1 pizza,"['330 g de farine', '1 c.c. de sel', ""1 c.s. d'huile d'olive"", '5 g de levure de boulanger', ""90 g d'eau"", '90 g de lait']"
Fartons,Silvia Icart,5 min,5 min,2 h 10,2 h,4 personnes,"['400 g de farine', '30 g de levure fraîche de boulanger', '100 g de sucre', '70 g de beurre', '2  œufs', ""100 ml d'eau"", '0.5 c.c. de sel', '150 g de sucre', ""200 ml d'eau"", '2 c.s. de sucre glace']"
Pain d'épeautre,Magimix,10 min,50 min,1 h 45,45 min,1 pain,"[""500 g de farine d'épeautre"", '2 c.c. de levure sèche de boulanger', '1 c.s. de sel', ""280 ml d'eau"", '1 c.s. de miel']"
Pain aux graines de tournesol,Magimix,15 min,50 min,6 h 5,5 h,1 pain,"['200 g de grains de blé', '200 g de grains de seigle', '1 sachet de levure sèche de boulanger', '1 c.s. de sel', '50 g de graines de tournesol', ""300 ml d'eau"", '1 c.s. de miel', '7 ml d’extrait de levain']"
Pain cocotte au seigle (Pétrin XL),licorne.en.cuisine,4 min,55 min,3 h 59,3 h,1 pain,"[""240 ml d'eau fraîche"", '400 g de farine de seigle', '0.5 sachet de levure de boulanger déshydratée', '1 c.c. de sel fin']"
